Rank,First Name,Last Name,Team,Overall,Medal
256,Thomas,Kaar,AUT,153.33,P
257,Pedro,Dias,PRT,153.16,P
258,Baha Eren,Yaldiz,TUR,153.1,P
259,Jérôme,Mayolet,BEL,152,P
260,Valentin,Imbach,CHE,147.71,P
261,Suleyman,Atayev,TKM,147.48,P
262,Davlat,Magzumov,TJK,147.28,P
263,Aymane,Lotfi,MAR,147,P
264,Victor,Melinceanu,MDA,138.5,P
265,Daniel,Fendrich,AUT,138,P
266,Ricardo,Antunes,PRT,137.94,P
267,Sebastián,Mestre,ARG,137,P
268,Matevž,Miščič,SVN,136,P
269,Nodir,Bobiev,TJK,134,P
270,Radek,Olšák,CZE,133.2,P
271,Charlie,van Diepen,NLD,132.33,P
272,Bor,Grošelj Simić,SVN,132,P
273,Oisin,Davey,IRL,131,P
274,William Bille,Meyling,DNK,130.58,P
275,Tarik,Dzaka,BIH,130.39,P
276,Mohamed,El Khatri,MAR,127.2,P
277,Eric,Song,NZL,125.94,P
278,Abdullah,Aljohani,SAU,125.49,P
279,Jovan,Kascelan,MNE,124,P
280,Sofus,Emil Simonsen Øvretveit,NOR,123,P
281,Ibrahim,Taghizade,AZE,122.95,P
282,Arthur,Conmy,GBR,120,P
282,Luis Sebastian,Galan,DNK,120,P
284,Haris,Imamovic,BIH,116.8,P
285,Alexander,Skovsende,DNK,116,P
286,Mohammed,Alrefaei,SAU,115,P
286,Alexandre,FOUQUET,LUX,115,P
288,Chibuoyim Faith Wilson,Ogbonna,NGA,112.81,P
289,Panagiotis,Chatzimichos,GRC,110,P
290,Hans,Kühn,CHL,109,P
291,Bjarni Dagur Thor,Kárason,ISL,96,P
291,Ashan,Rathnaweera,LKA,96,P
291,Li Xuan,Tan,MYS,96,P
294,Anushervon,Bozorov,TJK,90,P
295,Alvaro,Bacca,COL,84,P
296,Yakup,Allakov,TKM,80.24,P
297,Akmal,Mamadshoev,TJK,80,P
298,Léo,Gamboa Dos Santos,LUX,79,P
299,Laura,Massaccesi,ARG,78,P
299,Daner Zein,Tonconi Mendoza,BOL,78,P
301,Aya,Ben Saad,TUN,76,P
302,Ziyad,Alomari,SAU,68.94,P
303,Andrew,Nash,IRL,66,P
304,Khulegu,Batnasan,MNG,64.33,P
305,Arturo Aurelio,Hernandez Rodriguez,DOM,64,P
306,Ásþór,Björnsson,ISL,61,P
307,Martín,Rodríguez Muñoz,ESP,56,P
308,Chamindu,Abeysekera,LKA,55,P
309,Huseyn,Hajiyev,AZE2,54.09,P
310,Nina,Mitrovic,AUT,52,P
311,Lakshith,Nishshanke,LKA,50,P
312,Mohamed Reda,Glioula,MAR,49,P
313,Darwin,Piche,SLV,40,P
314,Sardorbek,Sobirov,UZB,37.33,P
315,Hanka,Goralija,BIH,37,P
315,Mohammad,Milhem,PSE,37,P
315,Samah,Qarada,PSE,37,P
318,Fabricio Javier,Cabrera Gordillo,BOL,35,P
319,Ufedo Peter Sule,Achimugu,NGA,34,P
320,Roger Danilo,Enriquez Corrales,BOL,32,P
321,Stanislas,BRIAUD,LUX,28,P
321,Basil,Hijaz,PSE,28,P
323,Ana Paula,De Sousa Martin,VEN,25,P
324,Jarod,DIFFERDANGE,LUX,19,P
325,Vicent,Baeza Esteve,ESP,17.5,P
326,Gurbanberdi,Gulladyyev,TKM,14,P
327,José Manuel,Cabrera,SLV,10,P
327,Fatima,Omarova,AZE2,10,P
329,Bazarkuly,Baymuradov,TKM,0,P
329,Malokhatkhon,Mukhammadieva,UZB,0,P
329,Abrar,Toma,PSE,0,P
